no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_3h_download_cor1	pre_b_3h_download_cor1	preevento_a_3h	preevento_b_3h	pre_a_2h_download_cor1	pre_b_2h_download_cor1
157	2008-10-21	09:53:13	2008-10-21	14:22:20	45/270	315	74.581	354.783	40.656	-39.143	40.841	*	*	2008-10-21 09:53:13	2008-10-21 14:22:20	2008-10-21 08:53:13	2008-10-21 13:22:20	2008-10-21 07:53:13	2008-10-21 12:22:20	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081021/', '20081021_065500_s4c1A.fts', '20081021_065509_s4c1A.fts', '20081021_065518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081021/', '20081021_112000_s4c1B.fts', '20081021_112009_s4c1B.fts', '20081021_112018_s4c1B.fts']	2008/10/21 06:53:13	2008/10/21 11:22:20	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081021/', '20081021_075500_s4c1A.fts', '20081021_075509_s4c1A.fts', '20081021_075518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081021/', '20081021_122000_s4c1B.fts', '20081021_122009_s4c1B.fts', '20081021_122018_s4c1B.fts']
158	2008-10-26	23:52:20	2008-10-26	22:23:11	270	270	1.957	281.356	40.840	-39.760	41.072	39.600	*	2008-10-26 23:52:20	2008-10-26 22:23:11	2008-10-26 22:52:20	2008-10-26 21:23:11	2008-10-26 21:52:20	2008-10-26 20:23:11	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081026/', '20081026_205000_s4c1A.fts', '20081026_205009_s4c1A.fts', '20081026_205018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081026/', '20081026_192500_s4c1B.fts', '20081026_192509_s4c1B.fts', '20081026_192518_s4c1B.fts']	2008/10/26 20:52:20	2008/10/26 19:23:11	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081026/', '20081026_215000_s4c1A.fts', '20081026_215009_s4c1A.fts', '20081026_215018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081026/', '20081026_202000_s4c1B.fts', '20081026_202009_s4c1B.fts', '20081026_202018_s4c1B.fts']
159	2008-10-30	15:22:20	2008-10-30	*	270	*	313.181	232.060	40.956	-40.165	41.214	40.036	*	2008-10-30 15:22:20		2008-10-30 14:22:20	NaT	2008-10-30 13:22:20	NaT	No data	*	2008/10/30 12:22:20		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081030/', '20081030_140500_s4c1A.fts', '20081030_140509_s4c1A.fts', '20081030_140518_s4c1A.fts']	*
160	2008-11-01	*	2008-11-01	05:23:10	*	90	292.341	211.002	41.004	-40.336	41.271	40.220	*		2008-11-01 05:23:10	NaT	2008-11-01 04:23:10	NaT	2008-11-01 03:23:10	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081101/', '20081101_022500_s4c1B.fts', '20081101_022509_s4c1B.fts', '20081101_022518_s4c1B.fts']		2008/11/01 02:23:10	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081101/', '20081101_032500_s4c1B.fts', '20081101_032509_s4c1B.fts', '20081101_032518_s4c1B.fts']
161	2008-11-02	*	2008-11-02	05:23:09	*	270	279.185	197.709	41.033	-40.443	41.307	40.336	*		2008-11-02 05:23:09	NaT	2008-11-02 04:23:09	NaT	2008-11-02 03:23:09	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081102/', '20081102_022000_s4c1B.fts', '20081102_022009_s4c1B.fts', '20081102_022018_s4c1B.fts']		2008/11/02 02:23:09	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081102/', '20081102_032000_s4c1B.fts', '20081102_032009_s4c1B.fts', '20081102_032018_s4c1B.fts']
162	2008-11-03	01:22:20	2008-11-03	01:53:09	45	315	268.231	186.642	41.058	-40.531	41.336	*	*	2008-11-03 01:22:20	2008-11-03 01:53:09	2008-11-03 00:22:20	2008-11-03 00:53:09	2008-11-02 23:22:20	2008-11-02 23:53:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081102/', '20081102_222500_s4c1A.fts', '20081102_222509_s4c1A.fts', '20081102_222518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081102/', '20081102_225000_s4c1B.fts', '20081102_225009_s4c1B.fts', '20081102_225018_s4c1B.fts']	2008/11/02 22:22:20	2008/11/02 22:53:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081102/', '20081102_232500_s4c1A.fts', '20081102_232509_s4c1A.fts', '20081102_232518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081102/', '20081102_235000_s4c1B.fts', '20081102_235009_s4c1B.fts', '20081102_235018_s4c1B.fts']
165	2008-11-04	*	2008-11-04	04:23:09	*	315	253.421	171.681	41.091	-40.650	41.375	40.562	*		2008-11-04 04:23:09	NaT	2008-11-04 03:23:09	NaT	2008-11-04 02:23:09	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081104/', '20081104_012000_s4c1B.fts', '20081104_012009_s4c1B.fts', '20081104_012018_s4c1B.fts']		2008/11/04 01:23:09	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081104/', '20081104_022000_s4c1B.fts', '20081104_022009_s4c1B.fts', '20081104_022018_s4c1B.fts']
166	2008-11-07	20:22:20	2008-11-07	21:23:08	270	315	205.191	122.965	41.196	-41.030	41.497	*	*	2008-11-07 20:22:20	2008-11-07 21:23:08	2008-11-07 19:22:20	2008-11-07 20:23:08	2008-11-07 18:22:20	2008-11-07 19:23:08	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081107/', '20081107_172500_s4c1A.fts', '20081107_172509_s4c1A.fts', '20081107_172518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081107/', '20081107_182500_s4c1B.fts', '20081107_182509_s4c1B.fts', '20081107_182518_s4c1B.fts']	2008/11/07 17:22:20	2008/11/07 18:23:08	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081107/', '20081107_182500_s4c1A.fts', '20081107_182509_s4c1A.fts', '20081107_182518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081107/', '20081107_192500_s4c1B.fts', '20081107_192509_s4c1B.fts', '20081107_192518_s4c1B.fts']
167	2008-11-13	16:22:20	2008-11-13	15:23:06	225	135	128.985	46.017	41.357	-41.611	41.673	*	*	2008-11-13 16:22:20	2008-11-13 15:23:06	2008-11-13 15:22:20	2008-11-13 14:23:06	2008-11-13 14:22:20	2008-11-13 13:23:06	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081113/', '20081113_132000_s4c1A.fts', '20081113_132009_s4c1A.fts', '20081113_132018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081113/', '20081113_122000_s4c1B.fts', '20081113_122009_s4c1B.fts', '20081113_122018_s4c1B.fts']	2008/11/13 13:22:20	2008/11/13 12:23:06	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081113/', '20081113_142000_s4c1A.fts', '20081113_142009_s4c1A.fts', '20081113_142018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081113/', '20081113_132000_s4c1B.fts', '20081113_132009_s4c1B.fts', '20081113_132018_s4c1B.fts']
171	2008-11-20	14:52:20	2008-11-20	14:53:03	45	315	37.177	313.353	41.543	-42.281	41.860	42.365	*	2008-11-20 14:52:20	2008-11-20 14:53:03	2008-11-20 13:52:20	2008-11-20 13:53:03	2008-11-20 12:52:20	2008-11-20 12:53:03	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081120/', '20081120_115000_s4c1A.fts', '20081120_115009_s4c1A.fts', '20081120_115018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081120/', '20081120_115000_s4c1B.fts', '20081120_115009_s4c1B.fts', '20081120_115018_s4c1B.fts']	2008/11/20 11:52:20	2008/11/20 11:53:03	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081120/', '20081120_125000_s4c1A.fts', '20081120_125009_s4c1A.fts', '20081120_125018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081120/', '20081120_125000_s4c1B.fts', '20081120_125009_s4c1B.fts', '20081120_125018_s4c1B.fts']
172	2008-11-23	22:22:20	2008-11-24	04:23:02	270	270	353.601	269.385	41.628	-42.588	41.939	*	*	2008-11-23 22:22:20	2008-11-24 04:23:02	2008-11-23 21:22:20	2008-11-24 03:23:02	2008-11-23 20:22:20	2008-11-24 02:23:02	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081123/', '20081123_192500_s4c1A.fts', '20081123_192509_s4c1A.fts', '20081123_192518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081124/', '20081124_012500_s4c1B.fts', '20081124_012509_s4c1B.fts', '20081124_012518_s4c1B.fts']	2008/11/23 19:22:20	2008/11/24 01:23:02	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081123/', '20081123_202500_s4c1A.fts', '20081123_202509_s4c1A.fts', '20081123_202518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081124/', '20081124_022500_s4c1B.fts', '20081124_022509_s4c1B.fts', '20081124_022518_s4c1B.fts']
173	2008-11-29	*	2008-11-29	13:23:00	*	90	279.598	194.736	41.769	-43.093	42.059	43.271	*		2008-11-29 13:23:00	NaT	2008-11-29 12:23:00	NaT	2008-11-29 11:23:00	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081129/', '20081129_102500_s4c1B.fts', '20081129_102509_s4c1B.fts', '20081129_102518_s4c1B.fts']		2008/11/29 10:23:00	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081129/', '20081129_112500_s4c1B.fts', '20081129_112509_s4c1B.fts', '20081129_112518_s4c1B.fts']
174	2008-12-07	*	2008-12-07	01:22:57	*	90	180.961	95.274	41.957	-43.730	42.202	43.977	*		2008-12-07 01:22:57	NaT	2008-12-07 00:22:57	NaT	2008-12-06 23:22:57	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081206/', '20081206_222500_s4c1B.fts', '20081206_222509_s4c1B.fts', '20081206_222518_s4c1B.fts']		2008/12/06 22:22:57	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081206/', '20081206_232500_s4c1B.fts', '20081206_232509_s4c1B.fts', '20081206_232518_s4c1B.fts']
175	2008-12-08	17:22:20	2008-12-08	*	315	*	159.041	73.177	41.999	-43.865	42.232	44.127	*	2008-12-08 17:22:20		2008-12-08 16:22:20	NaT	2008-12-08 15:22:20	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081208/', '20081208_142500_s4c1A.fts', '20081208_142509_s4c1A.fts', '20081208_142518_s4c1A.fts']	*	2008/12/08 14:22:20		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081208/', '20081208_152500_s4c1A.fts', '20081208_152509_s4c1A.fts', '20081208_152518_s4c1A.fts']	*
176	2008-12-12	08:22:20	2008-12-12	08:22:55	90	270	111.369	25.125	42.092	-44.152	42.294	*	*	2008-12-12 08:22:20	2008-12-12 08:22:55	2008-12-12 07:22:20	2008-12-12 07:22:55	2008-12-12 06:22:20	2008-12-12 06:22:55	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081212/', '20081212_052500_s4c1A.fts', '20081212_052509_s4c1A.fts', '20081212_052518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081212/', '20081212_052500_s4c1B.fts', '20081212_052509_s4c1B.fts', '20081212_052518_s4c1B.fts']	2008/12/12 05:22:20	2008/12/12 05:22:55	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081212/', '20081212_062500_s4c1A.fts', '20081212_062509_s4c1A.fts', '20081212_062518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081212/', '20081212_062500_s4c1B.fts', '20081212_062509_s4c1B.fts', '20081212_062518_s4c1B.fts']
177	2008-12-16	08:22:20	2008-12-16	08:22:54	90	90	58.770	332.118	42.194	-44.457	42.360	44.773	*	2008-12-16 08:22:20	2008-12-16 08:22:54	2008-12-16 07:22:20	2008-12-16 07:22:54	2008-12-16 06:22:20	2008-12-16 06:22:54	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081216/', '20081216_052500_s4c1A.fts', '20081216_052509_s4c1A.fts', '20081216_052518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081216/', '20081216_051700_s4c1B.fts', '20081216_051709_s4c1B.fts', '20081216_051718_s4c1B.fts']	2008/12/16 05:22:20	2008/12/16 05:22:54	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081216/', '20081216_062500_s4c1A.fts', '20081216_062509_s4c1A.fts', '20081216_062518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081216/', '20081216_061700_s4c1B.fts', '20081216_061709_s4c1B.fts', '20081216_061718_s4c1B.fts']
178	2008-12-20	20:22:20	2008-12-20	12:52:53	270	45	3.710	276.644	42.301	-44.765	*	*	*	2008-12-20 20:22:20	2008-12-20 12:52:53	2008-12-20 19:22:20	2008-12-20 11:52:53	2008-12-20 18:22:20	2008-12-20 10:52:53	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081220/', '20081220_172500_s4c1A.fts', '20081220_172509_s4c1A.fts', '20081220_172518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081220/', '20081220_095500_s4c1B.fts', '20081220_095509_s4c1B.fts', '20081220_095518_s4c1B.fts']	2008/12/20 17:22:20	2008/12/20 09:52:53	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081220/', '20081220_182500_s4c1A.fts', '20081220_182509_s4c1A.fts', '20081220_182518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081220/', '20081220_105500_s4c1B.fts', '20081220_105509_s4c1B.fts', '20081220_105518_s4c1B.fts']
179	2008-12-27	06:52:20	2008-12-27	10:52:50	45	315	274.968	187.260	42.472	-45.236	42.520	*	*	2008-12-27 06:52:20	2008-12-27 10:52:50	2008-12-27 05:52:20	2008-12-27 09:52:50	2008-12-27 04:52:20	2008-12-27 08:52:50	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081227/', '20081227_035000_s4c1A.fts', '20081227_035009_s4c1A.fts', '20081227_035018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081227/', '20081227_075000_s4c1B.fts', '20081227_075009_s4c1B.fts', '20081227_075018_s4c1B.fts']	2008/12/27 03:52:20	2008/12/27 07:52:50	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081227/', '20081227_045000_s4c1A.fts', '20081227_045009_s4c1A.fts', '20081227_045018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20081227/', '20081227_085000_s4c1B.fts', '20081227_085009_s4c1B.fts', '20081227_085018_s4c1B.fts']
180	2008-12-31	15:52:20	2008-12-31	*	90	*	217.457	129.351	42.583	-45.523	42.582	45.887	*	2008-12-31 15:52:20		2008-12-31 14:52:20	NaT	2008-12-31 13:52:20	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081231/', '20081231_125000_s4c1A.fts', '20081231_125009_s4c1A.fts', '20081231_125018_s4c1A.fts']	*	2008/12/31 12:52:20		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20081231/', '20081231_135000_s4c1A.fts', '20081231_135009_s4c1A.fts', '20081231_135018_s4c1A.fts']	*
181	2009-01-05	*	2009-01-05	00:22:20	*	270	160.225	71.736	42.695	-45.793	42.644	46.153	88.797		2009-01-05 00:22:20	NaT	2009-01-04 23:22:20	NaT	2009-01-04 22:22:20	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090104/', '20090104_212500_s4c1B.fts', '20090104_212509_s4c1B.fts', '20090104_212518_s4c1B.fts']		2009/01/04 21:22:20	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090104/', '20090104_222500_s4c1B.fts', '20090104_222509_s4c1B.fts', '20090104_222518_s4c1B.fts']
182	2009-01-06	07:22:00	2009-01-06	07:22:27	270	90	143.248	54.649	42.729	-45.870	*	*	*	2009-01-06 07:22:00	2009-01-06 07:22:27	2009-01-06 06:22:00	2009-01-06 06:22:27	2009-01-06 05:22:00	2009-01-06 05:22:27	No data	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090106/', '20090106_042500_s4c1B.fts', '20090106_042509_s4c1B.fts', '20090106_042518_s4c1B.fts']	2009/01/06 04:22:00	2009/01/06 04:22:27	No data	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090106/', '20090106_052500_s4c1B.fts', '20090106_052509_s4c1B.fts', '20090106_052518_s4c1B.fts']
183	2009-01-07	14:52:00	2009-01-07	*	90	*	125.997	37.287	42.763	-45.947	42.683	46.301	88.984	2009-01-07 14:52:00		2009-01-07 13:52:00	NaT	2009-01-07 12:52:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090107/', '20090107_115000_s4c1A.fts', '20090107_115009_s4c1A.fts', '20090107_115018_s4c1A.fts']	*	2009/01/07 11:52:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090107/', '20090107_125000_s4c1A.fts', '20090107_125009_s4c1A.fts', '20090107_125018_s4c1A.fts']	*
184	2009-01-08	14:52:00	2009-01-09	01:52:26	90	270	112.855	24.061	42.789	-46.005	42.698	*	*	2009-01-08 14:52:00	2009-01-09 01:52:26	2009-01-08 13:52:00	2009-01-09 00:52:26	2009-01-08 12:52:00	2009-01-08 23:52:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090108/', '20090108_115500_s4c1A.fts', '20090108_115509_s4c1A.fts', '20090108_115518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090108/', '20090108_225000_s4c1B.fts', '20090108_225009_s4c1B.fts', '20090108_225018_s4c1B.fts']	2009/01/08 11:52:00	2009/01/08 22:52:26	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090108/', '20090108_125500_s4c1A.fts', '20090108_125509_s4c1A.fts', '20090108_125518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090108/', '20090108_235000_s4c1B.fts', '20090108_235009_s4c1B.fts', '20090108_235018_s4c1B.fts']
185	2009-01-12	15:22:00	2009-01-13	03:22:25	270	270	60.012	330.889	42.896	-46.227	42.761	46.562	*	2009-01-12 15:22:00	2009-01-13 03:22:25	2009-01-12 14:22:00	2009-01-13 02:22:25	2009-01-12 13:22:00	2009-01-13 01:22:25	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090112/', '20090112_122500_s4c1A.fts', '20090112_122509_s4c1A.fts', '20090112_122518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090113/', '20090113_002500_s4c1B.fts', '20090113_002509_s4c1B.fts', '20090113_002518_s4c1B.fts']	2009/01/12 12:22:00	2009/01/13 00:22:25	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090112/', '20090112_132500_s4c1A.fts', '20090112_132509_s4c1A.fts', '20090112_132518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090113/', '20090113_012500_s4c1B.fts', '20090113_012509_s4c1B.fts', '20090113_012518_s4c1B.fts']
186	2009-01-14	06:22:00	2009-01-14	11:22:00	90	270	38.657	309.405	42.939	-46.313	42.788	*	*	2009-01-14 06:22:00	2009-01-14 11:22:00	2009-01-14 05:22:00	2009-01-14 10:22:00	2009-01-14 04:22:00	2009-01-14 09:22:00	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090114/', '20090114_032500_s4c1A.fts', '20090114_032509_s4c1A.fts', '20090114_032518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090114/', '20090114_082500_s4c1B.fts', '20090114_082509_s4c1B.fts', '20090114_082518_s4c1B.fts']	2009/01/14 03:22:00	2009/01/14 08:22:00	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090114/', '20090114_042500_s4c1A.fts', '20090114_042509_s4c1A.fts', '20090114_042518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090114/', '20090114_092500_s4c1B.fts', '20090114_092509_s4c1B.fts', '20090114_092518_s4c1B.fts']
187	2009-01-15	19:52:00	2009-01-15	18:22:25	270	270	18.945	289.575	42.978	-46.391	42.812	46.709	*	2009-01-15 19:52:00	2009-01-15 18:22:25	2009-01-15 18:52:00	2009-01-15 17:22:25	2009-01-15 17:52:00	2009-01-15 16:22:25	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090115/', '20090115_165500_s4c1A.fts', '20090115_165509_s4c1A.fts', '20090115_165518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090115/', '20090115_152500_s4c1B.fts', '20090115_152509_s4c1B.fts', '20090115_152518_s4c1B.fts']	2009/01/15 16:52:00	2009/01/15 15:22:25	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090115/', '20090115_175500_s4c1A.fts', '20090115_175509_s4c1A.fts', '20090115_175518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090115/', '20090115_162500_s4c1B.fts', '20090115_162509_s4c1B.fts', '20090115_162518_s4c1B.fts']
188	2009-01-17	*	2009-01-17	14:22:24	*	90	354.853	265.342	43.027	-46.484	42.843	46.790	89.633		2009-01-17 14:22:24	NaT	2009-01-17 13:22:24	NaT	2009-01-17 12:22:24	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090117/', '20090117_112500_s4c1B.fts', '20090117_112509_s4c1B.fts', '20090117_112518_s4c1B.fts']		2009/01/17 11:22:24	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090117/', '20090117_122500_s4c1B.fts', '20090117_122509_s4c1B.fts', '20090117_122518_s4c1B.fts']
189	2009-01-20	19:52:00	2009-01-20	15:22:23	270	270	314.883	225.145	43.107	-46.632	42.896	46.916	*	2009-01-20 19:52:00	2009-01-20 15:22:23	2009-01-20 18:52:00	2009-01-20 14:22:23	2009-01-20 17:52:00	2009-01-20 13:22:23	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090120/', '20090120_165000_s4c1A.fts', '20090120_165009_s4c1A.fts', '20090120_165018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090120/', '20090120_122500_s4c1B.fts', '20090120_122509_s4c1B.fts', '20090120_122518_s4c1B.fts']	2009/01/20 16:52:00	2009/01/20 12:22:23	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090120/', '20090120_175000_s4c1A.fts', '20090120_175009_s4c1A.fts', '20090120_175018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090120/', '20090120_132500_s4c1B.fts', '20090120_132509_s4c1B.fts', '20090120_132518_s4c1B.fts']
190	2009-01-21	*	2009-01-21	22:22:23	*	270	297.911	208.078	43.141	-46.692	42.918	46.967	*		2009-01-21 22:22:23	NaT	2009-01-21 21:22:23	NaT	2009-01-21 20:22:23	*	No data		2009/01/21 19:22:23	*	No data
191	2009-01-25	*	2009-01-25	12:22:22	*	90	250.826	160.738	43.234	-46.853	42.985	47.096	*		2009-01-25 12:22:22	NaT	2009-01-25 11:22:22	NaT	2009-01-25 10:22:22	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090125/', '20090125_092000_s4c1B.fts', '20090125_092009_s4c1B.fts', '20090125_092018_s4c1B.fts']		2009/01/25 09:22:22	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090125/', '20090125_102000_s4c1B.fts', '20090125_102009_s4c1B.fts', '20090125_102018_s4c1B.fts']
192	2009-01-31	06:22:00	2009-01-31	04:22:21	270	90	176.368	85.900	43.384	-47.084	*	*	*	2009-01-31 06:22:00	2009-01-31 04:22:21	2009-01-31 05:22:00	2009-01-31 03:22:21	2009-01-31 04:22:00	2009-01-31 02:22:21	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090131/', '20090131_032500_s4c1A.fts', '20090131_032509_s4c1A.fts', '20090131_032518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090131/', '20090131_012000_s4c1B.fts', '20090131_012009_s4c1B.fts', '20090131_012018_s4c1B.fts']	2009/01/31 03:22:00	2009/01/31 01:22:21	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090131/', '20090131_042500_s4c1A.fts', '20090131_042509_s4c1A.fts', '20090131_042518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090131/', '20090131_022000_s4c1B.fts', '20090131_022009_s4c1B.fts', '20090131_022018_s4c1B.fts']
193	2009-02-06	09:22:00	2009-02-06	06:22:20	270	270	96.438	5.592	43.549	-47.297	43.239	*	*	2009-02-06 09:22:00	2009-02-06 06:22:20	2009-02-06 08:22:00	2009-02-06 05:22:20	2009-02-06 07:22:00	2009-02-06 04:22:20	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090206/', '20090206_062500_s4c1A.fts', '20090206_062509_s4c1A.fts', '20090206_062518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090206/', '20090206_032000_s4c1B.fts', '20090206_032009_s4c1B.fts', '20090206_032018_s4c1B.fts']	2009/02/06 06:22:00	2009/02/06 03:22:20	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090206/', '20090206_072500_s4c1A.fts', '20090206_072509_s4c1A.fts', '20090206_072518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090206/', '20090206_042000_s4c1B.fts', '20090206_042009_s4c1B.fts', '20090206_042018_s4c1B.fts']
194	2009-02-06	17:22:00	2009-02-06	*	270	*	90.416	359.543	43.562	-47.311	43.251	47.422	90.673	2009-02-06 17:22:00		2009-02-06 16:22:00	NaT	2009-02-06 15:22:00	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090206/', '20090206_142500_s4c1A.fts', '20090206_142509_s4c1A.fts', '20090206_142518_s4c1A.fts']	*	2009/02/06 14:22:00		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090206/', '20090206_152500_s4c1A.fts', '20090206_152509_s4c1A.fts', '20090206_152518_s4c1A.fts']	*
195	2009-02-10	20:52:00	2009-02-11	01:52:19	270/90	225/90	35.944	304.833	43.679	*	*	*	*	2009-02-10 20:52:00	2009-02-11 01:52:19	2009-02-10 19:52:00	2009-02-11 00:52:19	2009-02-10 18:52:00	2009-02-10 23:52:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090210/', '20090210_175500_s4c1A.fts', '20090210_175509_s4c1A.fts', '20090210_175518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090210/', '20090210_225000_s4c1B.fts', '20090210_225009_s4c1B.fts', '20090210_225018_s4c1B.fts']	2009/02/10 17:52:00	2009/02/10 22:52:19	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20090210/', '20090210_185500_s4c1A.fts', '20090210_185509_s4c1A.fts', '20090210_185518_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20090210/', '20090210_235000_s4c1B.fts', '20090210_235009_s4c1B.fts', '20090210_235018_s4c1B.fts']
